variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
ice_conc,,,satellite-sea-ice-concentration,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-sea-ice-concentration/daily/native/ice_conc,CDS,False,False,,,scripts/download/satellite-sea-ice-concentration.py
ice_conc,,,satellite-sea-ice-concentration,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-sea-ice-concentration/daily/native/ice_conc,CDS,False,False,,,scripts/download/satellite-sea-ice-concentration.py
hurs,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/derived-era5-single-levels-daily-statistics/daily/native/hurs,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/d2m;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2m,True,True,1940,2024,scripts/derived/derived-era5-single-levels-daily-statistics.py
huss,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/derived-era5-single-levels-daily-statistics/daily/native/huss,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/d2m;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/ps,True,True,1940,2024,scripts/derived/derived-era5-single-levels-daily-statistics.py
t2m,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/t2m/derived/derived-era5-single-levels-daily-statistics/daily/gr100/t2m,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2m,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
t2mx,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/t2mx/derived/derived-era5-single-levels-daily-statistics/daily/gr100/t2mx,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2mx,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
t2mn,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/t2mn/derived/derived-era5-single-levels-daily-statistics/daily/gr100/t2mn,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2mn,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
tp,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/tp/derived/derived-era5-single-levels-daily-statistics/daily/gr100/tp,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/tp,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
ssrd,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/ssrd/derived/derived-era5-single-levels-daily-statistics/daily/gr100/ssrd,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/ssrd,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
e,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/e/derived/derived-era5-single-levels-daily-statistics/daily/gr100/e,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/e,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
hurs,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/hurs/derived/derived-era5-single-levels-daily-statistics/daily/gr100/hurs,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/d2m;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2m,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
huss,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/huss/derived/derived-era5-single-levels-daily-statistics/daily/gr100/huss,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/d2m;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/ps,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
msl,,,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/huss/derived/derived-era5-single-levels-daily-statistics/daily/gr100/msl,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/msl,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
t2m,,,derived-era5-single-levels-daily-statistics,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2m,CDS,True,True,1940,2024,scripts/download/derived-era5-single-levels-daily-statistics.py
